Name,Collector,Year_,Max7DADM,Lat,Long_
0605 Poop Creek Temperature,USFS,2015,13.64857,44.98685651,-121.8394445
060600002_Oscar_Cr_LTWT,USFS,2014,13.18714,45.15416901,-122.2415991
060600005_Clear_Creek,USFS,2014,12.44143,45.14148563,-122.3009588
060600007_Helion Creek,USFS,2014,13.88571,45.15499265,-122.1764742
060600008_Unnamed_Cr,USFS,2014,15.2,45.17809443,-122.1867216
10598086,USFS,2022,17.14828571,44.93640107,-122.2015055
10598088WFkStone2023,USFS,2023,18.24886,45.07982662,-121.7965248
14209700_FishCreekNearThreeLynx,USGS,2023,23.27,45.14748794,-122.1550455
14209700_FishCreekNearThreeLynx,USGS,2022,23.86,45.14748794,-122.1550455
14209700_FishCreekNearThreeLynx,USGS,2021,24,45.14748794,-122.1550455
14209710_ClackamasRiverAtCarterBridge,USGS,2023,17.42,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2022,17.65,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2021,19.03,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2020,16.99,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2019,16.57,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2018,16.79,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2017,15.95,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2016,16.81,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2015,18.39,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2014,16.41,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2013,16.5,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2012,15.44,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2011,15.21,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2010,15.79,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2009,17.36,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2008,15.3,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2007,16.91,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2006,16.59,45.16627118,-122.1563721
14209710_ClackamasRiverAtCarterBridge,USGS,2005,17.21,45.16627118,-122.1563721
14210000_ClackamasRiverAtEstacada,USGS,2023,19.74,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2022,19.24,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2021,20.25,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2020,18.96,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2019,18.56,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2018,19.35,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2017,18.51,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2016,18.61,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2015,20.54,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2014,18.17,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2013,17.89,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2012,17.19,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2011,16.59,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2010,17.39,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2009,19.44,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2008,16.71,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2007,18.8,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2006,18.79,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2005,19.04,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2004,19.13,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2003,19.37,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2002,18.59,45.30022811,-122.3525624
14210000_ClackamasRiverAtEstacada,USGS,2001,17.93,45.30022811,-122.3525624
"14211005_ClackamasRiverAtClackamas,OR",USGS,2011,20.27,45.39753403,-122.557513
"14211005_ClackamasRiverAtClackamas,OR",USGS,2010,21.04,45.39753403,-122.557513
14211010_ClackamasNearOregonCity,USGS,2023,23.43,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2022,23.67,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2021,24.21,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2020,22.83,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2019,22.5,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2018,23.56,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2017,22.78,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2016,22.41,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2015,24.53,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2014,22.7,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2013,21.87,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2012,21.5,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2011,20.24,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2010,21.23,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2009,23.54,45.37930354,-122.5757847
14211010_ClackamasNearOregonCity,USGS,2008,20.94,45.37930354,-122.5757847
