Latitude: 45.29243  Longitude: -122.08213
X & Y on Lambert Conformal Conic: -1633275.04 513323.59
Tile: 12089
Elevation: 742 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,31006.23,8.08,58.34,0.00,5.95,2.39,725.13
1980,2,31057.55,13.71,66.19,0.00,5.45,1.38,674.93
1980,3,31113.05,5.77,88.76,0.00,4.41,-1.45,549.18
1980,4,31172.69,27.13,74.88,0.00,4.10,-0.54,587.07
1980,5,31236.41,9.36,54.18,0.00,2.18,-0.97,568.76
1980,6,31304.18,0.00,144.41,0.00,2.05,-6.68,370.53
1980,7,31375.93,20.96,118.37,20.96,-0.65,-7.80,339.64
1980,8,31451.61,59.60,119.01,80.56,0.33,-6.29,381.92
1980,9,31531.17,44.79,102.01,80.38,-0.36,-5.58,403.19
1980,10,31614.54,21.12,95.18,80.26,-1.00,-5.71,398.98
1980,11,31701.66,32.37,159.54,112.63,6.39,-6.07,388.25
1980,12,31792.48,48.31,155.75,111.39,8.08,-3.04,488.05
1980,13,31886.92,47.33,115.11,108.86,5.93,0.03,612.07
1980,14,31984.92,28.38,91.35,106.05,5.00,0.69,642.13
1980,15,32086.41,2.56,127.49,104.63,4.03,-2.62,503.74
1980,16,32191.33,15.92,119.02,102.42,5.21,-0.74,578.54
1980,17,32299.60,7.11,85.75,100.77,1.74,-2.08,524.35
1980,18,32411.15,0.00,169.38,100.77,-0.46,-7.07,359.41
1980,19,32525.91,0.00,187.92,100.77,1.78,-6.19,384.81
1980,20,32643.81,0.00,210.51,100.19,6.10,-4.62,433.40
1980,21,32764.77,0.00,198.02,98.68,6.40,-2.39,512.23
1980,22,32888.73,0.00,214.57,97.57,7.49,-3.35,476.84
1980,23,33015.60,0.00,222.55,96.37,8.82,-3.15,484.12
1980,24,33145.32,0.00,217.30,94.74,8.35,-2.10,523.36
1980,25,33277.81,0.00,166.48,93.35,3.12,-2.70,500.69
1980,26,33413.00,0.00,140.64,93.35,-5.30,-9.73,292.13
1980,27,33550.81,0.00,191.94,93.35,-7.53,-14.31,201.97
1980,28,33691.17,0.00,193.06,93.35,-7.98,-14.69,195.72
1980,29,33834.01,0.00,211.18,93.35,-5.56,-13.36,218.29
1980,30,33979.26,0.00,238.77,93.35,-1.78,-12.10,241.65
1980,31,34126.84,7.04,191.73,100.39,2.07,-8.92,311.24
1980,32,34276.69,29.01,170.50,99.34,4.79,-3.49,472.10
1980,33,34428.74,18.82,107.71,96.09,6.02,1.74,692.56
1980,34,34582.91,9.00,151.54,92.87,8.37,1.66,688.65
1980,35,34739.13,0.00,230.23,90.52,8.58,-0.41,592.82
1980,36,34897.35,7.04,146.03,87.64,7.05,0.86,649.85
1980,37,35057.49,19.48,86.37,84.45,4.79,1.60,685.69
1980,38,35219.48,11.45,152.14,81.94,6.21,-0.04,608.80
1980,39,35383.27,0.00,210.73,79.80,5.95,-0.89,572.11
1980,40,35548.79,0.00,197.14,77.58,5.36,-0.71,579.92
1980,41,35715.98,0.00,205.36,75.54,5.05,-1.14,561.91
