Latitude: 45.15071  Longitude: -122.15329
X & Y on Lambert Conformal Conic: -1642357.73 500221.12
Tile: 12089
Elevation: 445 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,31084.31,3.68,74.40,0.00,7.68,2.85,749.51
1980,2,31135.25,12.06,68.93,0.00,6.45,2.12,711.28
1980,3,31190.35,3.90,85.02,0.00,6.51,0.86,649.94
1980,4,31249.55,30.29,67.17,0.00,5.71,1.60,685.30
1980,5,31312.82,14.95,59.63,0.00,4.59,1.04,658.52
1980,6,31380.09,0.00,125.00,0.00,2.82,-3.80,461.29
1980,7,31451.32,16.02,87.10,0.00,0.53,-4.90,424.33
1980,8,31526.46,53.59,83.65,0.00,1.71,-3.41,475.01
1980,9,31605.44,36.94,57.68,0.00,1.35,-1.92,530.53
1980,10,31688.21,9.86,77.72,0.00,1.00,-3.55,469.92
1980,11,31774.71,31.08,127.16,0.00,6.95,-4.06,452.25
1980,12,31864.88,53.83,128.41,0.00,9.83,-1.66,540.67
1980,13,31958.65,47.96,94.89,0.00,6.89,0.98,655.75
1980,14,32055.96,28.28,71.58,0.00,6.07,2.01,705.83
1980,15,32156.73,2.07,101.27,0.00,5.49,-0.79,576.57
1980,16,32260.91,16.32,96.95,0.00,6.51,0.67,640.97
1980,17,32368.41,4.16,77.05,0.00,4.21,-0.03,609.45
1980,18,32479.18,0.00,139.79,0.00,2.38,-4.20,447.55
1980,19,32593.14,0.00,159.47,0.00,4.70,-3.70,464.83
1980,20,32710.22,0.00,167.72,0.00,6.28,-3.08,486.73
1980,21,32830.34,0.00,175.15,0.00,8.50,-2.05,525.40
1980,22,32953.44,0.00,176.46,0.00,8.44,-1.78,536.11
1980,23,33079.44,0.00,180.13,0.00,8.84,-1.72,538.60
1980,24,33208.27,0.00,179.83,0.00,8.00,-2.09,523.86
1980,25,33339.85,4.81,122.38,0.00,5.42,-1.75,537.27
1980,26,33474.12,0.00,117.19,0.00,-2.29,-6.71,369.65
1980,27,33611.00,0.00,165.25,0.00,-4.49,-11.59,251.94
1980,28,33750.41,0.00,168.09,0.00,-5.62,-12.79,228.60
1980,29,33892.29,0.00,196.01,0.00,-2.62,-12.60,232.15
1980,30,34036.56,0.00,205.23,0.00,0.31,-10.87,266.73
1980,31,34183.16,6.16,173.60,6.16,2.84,-7.27,354.00
1980,32,34332.01,27.79,152.81,4.74,5.07,-2.62,503.62
1980,33,34483.05,17.80,103.12,1.40,6.38,1.96,703.40
1980,34,34636.19,6.78,129.50,0.00,8.89,1.99,704.70
1980,35,34791.39,0.00,202.69,0.00,10.85,0.75,644.92
1980,36,34948.57,8.57,133.02,0.00,8.97,1.90,700.49
1980,37,35107.66,19.53,87.43,0.00,7.03,3.01,758.20
1980,38,35268.60,0.00,161.54,0.00,7.40,1.28,669.91
1980,39,35431.32,0.00,198.41,0.00,8.57,-0.02,609.66
1980,40,35595.77,0.00,187.49,0.00,8.33,0.74,644.15
1980,41,35761.88,0.00,192.55,0.00,8.44,0.72,643.36
1980,42,35929.59,0.00,201.84,0.00,7.80,-0.29,598.05
1980,43,36098.84,0.00,237.05,0.00,9.08,-2.50,508.10
1980,44,36269.58,0.00,212.81,0.00,5.96,-2.68,501.42
1980,45,36441.74,0.00,152.01,0.00,2.35,-2.72,499.80
1980,46,36615.27,1.77,208.32,0.00,4.91,-2.93,492.16
1980,47,36790.12,3.05,162.87,0.00,6.09,-1.99,527.65
1980,48,36966.22,9.87,155.33,0.00,6.91,-0.50,588.98
1980,49,37143.54,12.73,163.90,0.00,10.44,2.39,725.19
1980,50,37322.02,9.15,138.53,0.00,9.29,3.17,766.70
1980,51,37501.61,3.84,132.83,0.00,7.61,2.03,707.01
