Latitude: 44.97142  Longitude: -121.85592
X & Y on Lambert Conformal Conic: -1625745.29 476047.55
Tile: 12090
Elevation: 870 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,31161.82,2.23,74.11,0.00,5.55,1.02,657.66
1980,2,31212.39,9.62,87.46,0.00,5.10,-0.29,597.96
1980,3,31267.09,3.01,100.22,0.00,4.74,-1.56,544.91
1980,4,31325.86,28.77,75.59,0.00,4.11,-0.38,593.99
1980,5,31388.66,4.85,56.66,0.00,2.77,-0.48,589.92
1980,6,31455.45,0.00,165.61,0.00,1.63,-6.41,378.21
1980,7,31526.17,17.54,130.01,17.54,-0.75,-7.91,337.00
1980,8,31600.76,50.67,121.65,68.21,-0.20,-6.40,378.54
1980,9,31679.18,27.07,87.82,67.96,-1.21,-5.41,408.30
1980,10,31761.36,5.81,121.05,73.77,-0.78,-6.77,367.98
1980,11,31847.24,33.18,191.27,106.95,6.15,-7.53,346.88
1980,12,31936.77,54.22,179.22,105.81,7.80,-3.28,479.57
1980,13,32029.87,40.75,132.54,103.33,6.48,-0.09,606.82
1980,14,32126.49,21.37,94.01,100.41,5.27,0.94,653.63
1980,15,32226.55,1.45,197.25,99.30,3.91,-3.35,476.88
1980,16,32329.99,13.34,139.09,97.50,5.01,-1.71,538.75
1980,17,32436.75,0.00,105.48,95.83,1.42,-2.02,526.69
1980,18,32546.74,0.00,181.37,95.83,-1.20,-7.36,351.56
1980,19,32659.90,0.00,246.20,95.83,2.17,-7.62,344.50
1980,20,32776.17,0.00,265.80,95.83,5.09,-6.64,371.55
1980,21,32895.46,0.00,241.22,94.72,5.93,-3.36,476.54
1980,22,33017.71,0.00,266.23,94.21,6.38,-4.78,428.38
1980,23,33142.85,0.00,269.88,93.12,8.07,-3.42,474.44
1980,24,33270.79,0.00,255.64,91.51,7.74,-2.15,521.37
1980,25,33401.48,4.18,159.42,90.72,2.95,-4.13,450.03
1980,26,33534.83,0.00,110.74,90.72,-6.86,-10.05,284.78
1980,27,33670.78,0.00,242.20,90.72,-8.62,-16.53,167.81
1980,28,33809.25,0.00,258.80,90.72,-8.95,-17.59,153.52
1980,29,33950.18,0.00,290.52,90.72,-5.69,-16.56,167.47
1980,30,34093.48,0.00,313.25,90.72,-1.52,-15.29,186.22
1980,31,34239.10,8.08,224.85,98.80,1.45,-10.35,278.05
1980,32,34386.96,20.79,190.60,98.03,4.28,-4.17,448.62
1980,33,34536.99,12.31,120.94,95.31,5.18,0.47,632.11
1980,34,34689.13,5.75,147.25,92.27,7.13,1.23,667.54
1980,35,34843.30,0.00,268.73,90.21,7.94,-1.09,563.88
1980,36,34999.45,11.15,152.27,87.74,5.92,-0.11,605.98
1980,37,35157.50,16.97,118.86,85.07,4.79,0.35,626.34
1980,38,35317.39,0.00,246.75,83.12,6.07,-1.36,552.98
1980,39,35479.06,0.00,239.05,81.23,5.56,-1.50,547.19
1980,40,35642.45,0.00,231.01,79.46,4.90,-1.77,536.37
1980,41,35807.48,0.00,224.33,77.81,4.10,-2.08,524.18
1980,42,35974.12,0.00,289.91,76.65,5.42,-3.24,480.78
1980,43,36142.28,0.00,342.06,76.18,7.59,-4.87,425.50
1980,44,36311.93,0.00,292.34,75.40,4.56,-4.16,448.97
1980,45,36482.99,0.00,240.26,75.36,0.49,-5.90,393.42
1980,46,36655.42,1.37,300.11,76.73,2.37,-6.29,381.65
1980,47,36829.16,2.13,232.78,76.37,4.24,-5.13,417.15
1980,48,37004.16,7.46,242.46,75.57,5.99,-4.11,450.73
1980,49,37180.36,13.56,203.12,72.64,8.57,0.97,655.26
1980,50,37357.72,9.15,162.39,69.55,6.91,1.37,674.13
1980,51,37536.19,3.35,162.11,67.08,5.24,-0.13,604.91
1980,52,37715.71,0.00,338.57,65.57,7.34,-2.40,511.95
1980,53,37896.24,10.79,201.75,63.78,4.95,-1.73,537.99
1980,54,38077.73,3.62,206.51,61.62,5.91,-0.86,573.70
1980,55,38260.15,0.00,357.41,59.11,10.28,-0.04,609.03
1980,56,38443.43,18.54,177.78,55.72,7.73,2.08,709.59
1980,57,38627.55,4.10,215.94,52.14,9.71,2.52,732.14
1980,58,38812.46,8.14,177.17,47.61,10.33,4.79,859.06
1980,59,38998.12,5.47,148.59,43.83,7.36,3.01,757.82
1980,60,39184.49,0.00,386.64,41.60,10.25,-0.70,580.30
1980,61,39371.53,0.00,392.16,39.15,11.02,-0.16,603.70
1980,62,39559.20,0.00,382.36,36.12,11.61,1.21,666.66
1980,63,39747.46,12.00,188.97,32.96,6.99,1.52,681.54
1980,64,39936.29,5.95,190.83,29.50,7.75,2.25,718.10
1980,65,40125.63,9.52,143.04,27.02,3.73,-0.09,606.68
1980,66,40315.47,1.30,348.64,25.56,5.35,-2.54,506.52
1980,67,40505.76,4.64,254.27,23.66,6.21,-1.46,548.84
1980,68,40696.47,0.00,282.06,20.74,6.82,0.95,654.06
1980,69,40887.57,0.00,402.49,18.43,9.71,-0.51,588.54
1980,70,41079.02,11.51,267.49,15.77,8.52,0.33,625.52
1980,71,41270.80,15.14,195.81,13.85,3.84,-1.41,550.75
1980,72,41462.88,16.53,215.49,12.44,3.12,-2.64,503.04
1980,73,41655.21,30.65,198.16,10.52,3.63,-1.43,550.08
1980,74,41847.78,16.38,138.52,8.64,1.77,-1.53,545.83
1980,75,42040.55,9.28,240.29,7.72,2.32,-3.80,461.06
1980,76,42233.49,1.29,428.14,7.16,4.96,-4.67,431.91
1980,77,42426.58,9.92,280.59,5.51,5.46,-2.07,524.66
1980,78,42619.78,4.84,249.03,3.56,4.85,-1.36,552.95
1980,79,42813.07,1.77,340.90,1.10,6.18,-0.15,603.93
1980,80,43006.42,3.98,177.00,0.00,4.82,0.26,622.48
1980,81,43199.79,0.00,267.45,0.00,4.36,-0.81,575.84
1980,82,43393.16,4.54,248.91,0.00,6.83,-0.01,610.39
1980,83,43586.51,6.84,246.32,0.00,4.77,-1.82,534.42
1980,84,43779.79,0.00,441.79,0.00,9.11,-2.93,492.30
1980,85,43973.00,3.89,336.37,0.00,10.19,-2.98,490.46
1980,86,44166.08,16.13,221.88,0.00,4.65,-1.08,564.21
1980,87,44359.03,2.57,281.43,0.00,5.71,-2.27,516.86
1980,88,44551.80,0.00,456.55,0.00,8.73,-3.92,457.17
1980,89,44744.37,10.97,238.01,0.00,5.62,-0.71,579.75
1980,90,44936.70,0.00,387.56,0.00,5.22,-2.97,490.65
1980,91,45128.78,1.87,379.06,0.00,4.41,-3.31,478.52
1980,92,45320.56,0.00,454.40,0.00,6.40,-4.75,429.38
1980,93,45512.01,0.00,476.05,0.00,8.47,-4.74,429.55
1980,94,45703.11,1.83,479.62,0.00,10.32,-3.64,466.78
1980,95,45893.82,4.39,350.69,0.00,12.67,-0.87,572.97
1980,96,46084.11,18.41,240.60,0.00,7.52,1.02,657.33
1980,97,46273.95,20.63,165.63,0.00,2.82,-1.27,556.48
1980,98,46463.30,3.16,294.03,0.00,5.11,-3.24,480.98
1980,99,46652.12,13.00,286.28,0.00,8.36,0.34,625.74
1980,100,46840.39,19.46,229.57,0.00,7.27,1.40,675.79
1980,101,47028.06,0.00,410.73,0.00,8.27,-0.53,587.37
