Latitude: 45.328  Longitude: -122.28082
X & Y on Lambert Conformal Conic: -1646625.9 520868.64
Tile: 12089
Elevation: 261 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,30980.07,7.91,81.58,0.00,8.85,3.85,804.29
1980,2,31031.52,12.49,69.44,0.00,7.23,3.11,763.28
1980,3,31087.16,3.41,92.96,0.00,7.03,1.34,672.60
1980,4,31146.94,24.17,67.07,0.00,6.07,2.17,714.31
1980,5,31210.82,9.37,79.97,0.00,5.88,1.19,665.51
1980,6,31278.75,0.00,159.20,0.00,3.63,-3.86,458.97
1980,7,31350.67,13.90,87.49,0.00,0.50,-4.46,438.94
1980,8,31426.54,51.27,87.70,0.00,1.92,-3.03,488.62
1980,9,31506.29,44.05,67.43,0.00,1.73,-1.95,529.51
1980,10,31589.86,15.86,90.92,0.00,2.03,-3.04,488.11
1980,11,31677.19,22.00,142.50,0.00,7.49,-2.76,498.45
1980,12,31768.23,40.97,147.30,0.00,10.99,-0.37,594.68
1980,13,31862.89,41.21,95.16,0.00,6.79,1.47,679.29
1980,14,31961.13,28.53,81.16,0.00,6.47,2.08,709.63
1980,15,32062.86,2.96,108.45,0.00,5.90,-0.17,603.25
1980,16,32168.03,15.80,95.40,0.00,6.99,1.82,696.55
1980,17,32276.55,4.38,102.52,0.00,5.80,0.29,623.67
1980,18,32388.36,0.00,180.14,0.00,3.69,-4.00,454.32
1980,19,32503.39,0.00,188.63,0.00,5.45,-2.82,496.11
1980,20,32621.57,0.00,191.78,0.00,6.45,-1.95,529.19
1980,21,32742.81,0.00,212.72,0.00,8.55,-1.80,535.40
1980,22,32867.05,0.00,202.99,0.00,8.38,-0.71,579.77
1980,23,32994.22,0.00,216.41,0.00,8.69,-1.50,547.06
1980,24,33124.24,0.00,221.91,0.00,7.89,-2.55,506.42
1980,25,33257.03,0.00,180.16,0.00,6.00,-0.95,569.78
1980,26,33392.53,0.00,161.70,0.00,-0.47,-6.21,384.04
1980,27,33530.65,0.00,181.65,0.00,-3.45,-9.97,286.68
1980,28,33671.33,0.00,183.42,0.00,-4.50,-10.98,264.51
1980,29,33814.50,0.00,229.33,0.00,-1.78,-11.05,263.09
1980,30,33960.07,0.00,235.34,0.00,0.22,-9.43,299.05
1980,31,34107.99,3.97,183.33,3.97,2.47,-6.13,386.62
1980,32,34258.17,27.75,170.33,2.41,5.38,-2.27,516.82
1980,33,34410.55,21.38,103.69,0.00,6.96,2.33,722.18
1980,34,34565.06,6.70,166.62,0.00,10.73,1.81,696.12
1980,35,34721.64,0.00,249.51,0.00,11.82,0.70,642.57
1980,36,34880.20,4.62,147.26,0.00,9.86,2.71,742.05
1980,37,35040.69,16.07,107.61,0.00,8.45,3.67,794.33
1980,38,35203.04,4.94,137.13,0.00,8.23,1.97,704.10
1980,39,35367.19,0.00,234.46,0.00,9.13,0.30,624.36
1980,40,35533.07,0.00,210.25,0.00,9.19,1.78,694.28
1980,41,35700.62,0.00,214.22,0.00,9.39,1.97,704.11
1980,42,35869.78,0.00,223.20,0.00,8.38,0.81,647.45
1980,43,36040.49,0.00,276.58,0.00,9.22,-2.00,527.29
1980,44,36212.69,0.00,226.33,0.00,5.39,-2.15,521.48
1980,45,36386.32,2.14,110.02,0.00,2.51,-1.88,532.26
1980,46,36561.33,3.01,159.11,0.00,4.48,-2.26,517.36
1980,47,36737.66,3.52,167.97,0.00,6.21,-1.03,566.58
1980,48,36915.27,10.63,158.05,0.00,7.24,0.66,640.45
1980,49,37094.08,10.70,182.85,0.00,11.17,3.05,760.38
1980,50,37274.06,7.28,155.35,0.00,10.28,3.95,810.17
1980,51,37455.16,3.78,161.02,0.00,9.15,2.75,744.28
1980,52,37637.32,0.00,286.19,0.00,9.15,-0.38,593.94
1980,53,37820.50,6.92,189.35,0.00,8.29,0.67,640.93
1980,54,38004.65,3.14,210.21,0.00,10.65,1.69,689.73
1980,55,38189.73,1.91,270.09,0.00,12.54,4.24,826.84
1980,56,38375.68,11.73,121.74,0.00,9.88,5.57,907.24
1980,57,38562.47,5.35,154.95,0.00,12.23,6.58,972.83
1980,58,38750.06,5.58,144.10,0.00,12.67,7.55,1040.06
1980,59,38938.41,10.60,166.87,0.00,11.91,6.01,935.13
1980,60,39127.46,0.00,335.44,0.00,14.24,2.77,745.28
1980,61,39317.19,0.00,320.06,0.00,14.12,4.10,818.78
1980,62,39507.56,0.00,334.67,0.00,16.48,5.19,883.84
1980,63,39698.52,4.12,171.63,0.00,10.44,4.55,844.97
1980,64,39890.05,5.95,176.48,0.00,11.20,5.21,884.77
1980,65,40082.10,16.63,111.13,0.00,5.71,2.36,723.73
1980,66,40274.65,1.08,324.18,0.00,9.56,0.74,644.23
1980,67,40467.65,1.98,335.04,0.00,10.85,1.40,675.53
1980,68,40661.07,0.00,291.98,0.00,11.40,3.92,808.46
1980,69,40854.89,0.00,349.29,0.00,11.41,1.41,676.08
1980,70,41049.06,14.57,228.55,0.00,11.23,3.37,777.79
1980,71,41243.56,13.24,164.91,0.00,6.88,1.92,701.55
1980,72,41438.35,9.58,185.55,0.00,7.15,1.55,683.24
1980,73,41633.41,27.29,194.67,0.00,7.56,1.78,694.66
1980,74,41828.70,15.16,215.41,0.00,6.80,0.35,626.58
1980,75,42024.19,11.82,194.40,0.00,5.26,-0.31,597.04
1980,76,42219.86,2.96,281.72,0.00,9.09,-0.91,571.30
1980,77,42415.67,10.17,233.53,0.00,9.12,1.98,704.62
1980,78,42611.60,9.50,201.60,0.00,8.71,2.91,752.88
1980,79,42807.61,3.48,230.47,0.00,10.24,3.39,778.75
1980,80,43003.69,3.89,212.38,0.00,9.96,3.89,806.43
1980,81,43199.79,0.41,279.25,0.00,9.36,3.53,786.30
1980,82,43395.89,1.69,323.98,0.00,10.76,3.74,798.45
1980,83,43591.96,4.86,262.96,0.00,9.37,1.56,683.41
1980,84,43787.97,1.95,416.84,0.00,11.49,0.54,634.95
1980,85,43983.90,0.00,447.32,0.00,15.36,0.62,638.95
1980,86,44179.71,9.37,248.50,0.00,9.38,2.18,714.58
1980,87,44375.38,2.59,290.45,0.00,11.06,1.70,690.59
1980,88,44570.87,0.00,429.40,0.00,11.90,0.22,620.40
1980,89,44766.16,8.11,242.72,0.00,9.03,2.03,707.16
1980,90,44961.22,5.06,301.15,0.00,10.76,0.97,655.17
1980,91,45156.02,4.31,217.41,0.00,7.37,1.54,682.61
1980,92,45350.51,0.00,434.23,0.00,11.37,0.35,626.43
1980,93,45544.69,0.00,475.24,0.00,14.95,-0.86,573.43
1980,94,45738.50,0.00,461.72,0.00,13.87,0.14,616.81
1980,95,45931.93,4.32,344.91,0.00,17.07,2.42,727.15
1980,96,46124.93,15.12,265.97,0.00,11.65,3.53,786.45
1980,97,46317.48,24.92,200.22,0.00,6.50,1.05,658.95
1980,98,46509.53,2.37,299.49,0.00,9.35,-0.03,609.33
1980,99,46701.06,9.80,299.22,0.00,13.50,3.95,810.07
1980,100,46892.02,21.63,238.71,0.00,11.36,4.61,848.31
1980,101,47082.39,0.00,417.40,0.00,13.13,2.99,757.07
1980,102,47272.12,0.00,499.81,0.00,20.18,1.08,660.57
1980,103,47461.18,0.00,488.55,0.00,24.91,5.89,927.48
1980,104,47649.53,0.00,478.83,0.00,25.46,7.65,1047.20
1980,105,47837.12,6.93,270.92,0.00,16.45,7.30,1022.31
1980,106,48023.91,2.64,317.45,0.00,16.64,4.96,869.37
