"","Variable","VIF"
"SLOPE","SLOPE",7.08761705810462
"Elev","Elev",155.321666809551
"BFI","BFI",211.662974960105
"h2oDevelop","h2oDevelop",23.630324992229
"h2oLakesPe","h2oLakesPe",8.34399505018276
"h2oAgricul","h2oAgricul",37.5799459692464
"h2oBurnPer","h2oBurnPer",28.6253396845997
"h2oRdDens","h2oRdDens",18.871292329088
"h2oHiCascP","h2oHiCascP",14.6814551574864
"h2oWetland","h2oWetland",22.3820129184025
"h2oVegCov","h2oVegCov",219.250445417666
"h2oVegHt","h2oVegHt",238.299424210358
"Forest21","Forest21",35.5439812456253
"Shrub21","Shrub21",23.3324792846216
"h2oKm2","h2oKm2",16.2111203818922
"BurnRCA","BurnRCA",12.3295368614425
"AgricultRC","AgricultRC",17.3550608401127
"WetlandsRC","WetlandsRC",10.1640478428149
"LakesRCA","LakesRCA",50.2608710136364
"HiCascRCA","HiCascRCA",11.1476418591301
"DevelopRCA","DevelopRCA",26.3636740243608
"RoadsRCA","RoadsRCA",11.0115435266864
"VegCover","VegCover",180.389758208809
"VegHeight_","VegHeight_",255.099540083681
"DevelopBuf","DevelopBuf",20.550224149022
"AgBuf","AgBuf",15.7027335102499
"BurnBuf","BurnBuf",19.7534625253459
"WetlandBuf","WetlandBuf",8.4762793728683
"LakesBuf","LakesBuf",49.3854671421296
"HiCascBuf","HiCascBuf",5.73361923869859
"RoadsBuf","RoadsBuf",7.01971436081308
"VegHtBuf","VegHtBuf",127.490184683809
"VegCovBuf","VegCovBuf",129.613955929008
"MeanMaxAir","MeanMaxAir",698.094034619197
"MaxAir_C","MaxAir_C",521.864488328627
"Precip_mm","Precip_mm",4261.94095763786
"SumPrecip","SumPrecip",93.2275548092282
"MeanAirJJA","MeanAirJJA",395.529586697841
"WetPrecip","WetPrecip",4279.38745277484
"daymetDayl","daymetDayl",117.7336193303
"daymetPrcp","daymetPrcp",51.2301444855436
"daymetSRad","daymetSRad",40.8693798187281
"daymetVP","daymetVP",238.921702797235
"Azimuth","Azimuth",2.87612763423505
"AbsAzimuth","AbsAzimuth",4.33092301399371
