"","Variable","VIF"
"SLOPE","SLOPE",6.78777255475389
"Elev","Elev",145.481404338407
"BFI","BFI",198.574503177546
"h2oDevelop","h2oDevelop",23.5346006420375
"h2oLakesPe","h2oLakesPe",7.20295093058047
"h2oAgricul","h2oAgricul",36.3060893905434
"h2oBurnPer","h2oBurnPer",26.7244605346687
"h2oRdDens","h2oRdDens",18.807390729768
"h2oHiCascP","h2oHiCascP",14.4900503934083
"h2oWetland","h2oWetland",20.6074128764394
"h2oVegCov","h2oVegCov",195.416927976614
"h2oVegHt","h2oVegHt",231.047641513306
"Forest21","Forest21",32.5194995212656
"Shrub21","Shrub21",22.8279506584239
"h2oKm2","h2oKm2",15.877042279092
"BurnRCA","BurnRCA",12.242789617555
"AgricultRC","AgricultRC",14.9790625767287
"LakesRCA","LakesRCA",47.6210382989022
"HiCascRCA","HiCascRCA",9.12979901255734
"DevelopRCA","DevelopRCA",25.7437183496358
"RoadsRCA","RoadsRCA",8.2437757146727
"VegCover","VegCover",161.5072836031
"VegHeight_","VegHeight_",209.29917237858
"DevelopBuf","DevelopBuf",17.7185981197666
"AgBuf","AgBuf",12.7845942986831
"BurnBuf","BurnBuf",18.8301568514301
"WetlandBuf","WetlandBuf",4.52925869646348
"LakesBuf","LakesBuf",45.1471081316507
"HiCascBuf","HiCascBuf",5.66935904304368
"RoadsBuf","RoadsBuf",6.73055799508112
"VegHtBuf","VegHtBuf",112.903753547526
"VegCovBuf","VegCovBuf",111.748366290089
"MeanMaxAir","MeanMaxAir",660.294745905224
"MaxAir_C","MaxAir_C",518.850124665615
"Precip_mm","Precip_mm",4050.89682623607
"SumPrecip","SumPrecip",87.6447893483967
"MeanAirJJA","MeanAirJJA",359.02090410432
"WetPrecip","WetPrecip",4072.96690254306
"daymetDayl","daymetDayl",109.663141390159
"daymetPrcp","daymetPrcp",50.758107330211
"daymetSRad","daymetSRad",40.7592369124292
"daymetVP","daymetVP",237.635617145112
"AbsAzimuth","AbsAzimuth",4.20290168377645
